789049962-2858.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
789349926-2859.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
789649890-2860.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
789949853-2861.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
790249817-2862.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
790249817-2862.csv_2: True Class: high, Predicted: high, Probability: 0.6691490278985675
790549674-2863.csv_1: True Class: high, Predicted: high, Probability: 0.6018472784929492
790549674-2863.csv_2: True Class: low, Predicted: inactive, Probability: 0.7339065216494235
790849503-2864.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112207585707443
79090358-2865.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112535372436066
791149616-2866.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112289901941719
791449672-2867.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112425132729451
791749636-2868.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112738206963937
792049385-2869.csv_1: True Class: low, Predicted: inactive, Probability: 0.711282639324886
792349078-2870.csv_1: True Class: low, Predicted: inactive, Probability: 0.7111987088927871
792649342-2871.csv_1: True Class: low, Predicted: inactive, Probability: 0.7276781699737481
792649342-2871.csv_2: True Class: high, Predicted: inactive, Probability: 0.5299568550728226
793449430-2872.csv_1: True Class: high, Predicted: high, Probability: 0.8945181133401766
793749394-2873.csv_1: True Class: high, Predicted: high, Probability: 0.8943966343144486
79390247-2874.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112457469969177
794049251-2875.csv_1: True Class: high, Predicted: high, Probability: 0.8943622310634867
794349080-2876.csv_1: True Class: high, Predicted: high, Probability: 0.8946875193571748
794649193-2877.csv_1: True Class: high, Predicted: high, Probability: 0.8946234480315641
794949249-2878.csv_1: True Class: high, Predicted: high, Probability: 0.8945181133401766
795249213-2879.csv_1: True Class: high, Predicted: high, Probability: 0.8945181133401766
795549177-2880.csv_1: True Class: high, Predicted: high, Probability: 0.8944986391573938
795849121-2881.csv_1: True Class: high, Predicted: high, Probability: 0.894091247301173
796148710-2882.csv_1: True Class: high, Predicted: high, Probability: 0.8943186394235231
796448500-2883.csv_1: True Class: high, Predicted: high, Probability: 0.8946886631755623
796748614-2884.csv_1: True Class: high, Predicted: high, Probability: 0.8947492698668189
79690189-2885.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112420723089189
797048781-2886.csv_1: True Class: high, Predicted: inactive, Probability: 0.7249704481153736
797048781-2886.csv_2: True Class: low, Predicted: inactive, Probability: 0.7288185032552243
797048781-2886.csv_3: True Class: high, Predicted: inactive, Probability: 0.6356372914586104
