786350288-2848.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
786650252-2849.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216427631292814
786950101-2850.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216309901500903
787249765-2851.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216547257135975
787549805-2852.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216631241870358
787849975-2853.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216404722712289
78790423-2854.csv_1: True Class: low, Predicted: low, Probability: 0.996388121333313
788149789-2855.csv_1: True Class: inactive, Predicted: low, Probability: 0.621649444522445
788449746-2856.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216641421396478
788749935-2857.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216539621837792
789049962-2858.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
789349926-2859.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641064
789649890-2860.csv_1: True Class: inactive, Predicted: high, Probability: 0.9958318096226371
789949853-2861.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
790249817-2862.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
790249817-2862.csv_2: True Class: high, Predicted: high, Probability: 0.6846292578646636
790549674-2863.csv_1: True Class: high, Predicted: high, Probability: 0.6584333175115702
790549674-2863.csv_2: True Class: low, Predicted: low, Probability: 0.9606230198358248
790849503-2864.csv_1: True Class: low, Predicted: low, Probability: 0.9963978311321684
79090358-2865.csv_1: True Class: low, Predicted: low, Probability: 0.996385523966668
791149616-2866.csv_1: True Class: low, Predicted: low, Probability: 0.9963947444752073
791449672-2867.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
791749636-2868.csv_1: True Class: low, Predicted: low, Probability: 0.9963778868969331
792049385-2869.csv_1: True Class: low, Predicted: low, Probability: 0.9963745614190287
792349078-2870.csv_1: True Class: low, Predicted: low, Probability: 0.9964060859970236
792649342-2871.csv_1: True Class: low, Predicted: low, Probability: 0.9796365212517991
792649342-2871.csv_2: True Class: high, Predicted: high, Probability: 0.6079683288082454
793449430-2872.csv_1: True Class: high, Predicted: high, Probability: 0.7957614511273092
793749394-2873.csv_1: True Class: high, Predicted: high, Probability: 0.795676101680076
79390247-2874.csv_1: True Class: low, Predicted: low, Probability: 0.9963884527781474
794049251-2875.csv_1: True Class: high, Predicted: high, Probability: 0.7956519413639471
794349080-2876.csv_1: True Class: high, Predicted: high, Probability: 0.7958805739426804
794649193-2877.csv_1: True Class: high, Predicted: high, Probability: 0.7958355065213447
794949249-2878.csv_1: True Class: high, Predicted: high, Probability: 0.7957614511273092
795249213-2879.csv_1: True Class: high, Predicted: high, Probability: 0.7957614511273093
795549177-2880.csv_1: True Class: high, Predicted: high, Probability: 0.7957477647929213
795849121-2881.csv_1: True Class: high, Predicted: high, Probability: 0.7954618061667803
796148710-2882.csv_1: True Class: high, Predicted: high, Probability: 0.7956213352490941
796448500-2883.csv_1: True Class: high, Predicted: high, Probability: 0.7958813786508351
796748614-2884.csv_1: True Class: high, Predicted: high, Probability: 0.7959240248075975
79690189-2885.csv_1: True Class: low, Predicted: low, Probability: 0.9963898334721232
797048781-2886.csv_1: True Class: high, Predicted: high, Probability: 0.5230442973385586
797048781-2886.csv_2: True Class: low, Predicted: low, Probability: 0.9770193282815516
797048781-2886.csv_3: True Class: high, Predicted: high, Probability: 0.564800828893834
797348948-2887.csv_1: True Class: high, Predicted: high, Probability: 0.6357922775585382
797348948-2887.csv_2: True Class: low, Predicted: low, Probability: 0.9706994273948603
797648687-2888.csv_1: True Class: low, Predicted: low, Probability: 0.9963866847221077
797948598-2889.csv_1: True Class: low, Predicted: low, Probability: 0.9391226778130466
797948598-2889.csv_2: True Class: high, Predicted: high, Probability: 0.691251901169693
798248787-2890.csv_1: True Class: high, Predicted: high, Probability: 0.5081884411330473
798248787-2890.csv_2: True Class: low, Predicted: low, Probability: 0.9941169973976319
798548814-2891.csv_1: True Class: low, Predicted: low, Probability: 0.996389502153541
798848774-2892.csv_1: True Class: low, Predicted: low, Probability: 0.9963855792491604
799148663-2893.csv_1: True Class: low, Predicted: low, Probability: 0.9963870715580454
799448580-2894.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
799748544-2895.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
79990156-2896.csv_1: True Class: low, Predicted: low, Probability: 0.996393751775903
800048508-2897.csv_1: True Class: low, Predicted: low, Probability: 0.9963898334721232
800348475-2898.csv_1: True Class: low, Predicted: low, Probability: 0.9963938069330086
800648514-2899.csv_1: True Class: low, Predicted: low, Probability: 0.996392207035624
800948524-2900.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
801248488-2901.csv_1: True Class: low, Predicted: low, Probability: 0.7739370380288573
801248488-2901.csv_2: True Class: high, Predicted: high, Probability: 0.7842601659118692
801548452-2902.csv_1: True Class: high, Predicted: high, Probability: 0.6173706285157239
801548452-2902.csv_2: True Class: low, Predicted: low, Probability: 0.9769679186833533
801848396-2903.csv_1: True Class: low, Predicted: low, Probability: 0.9963690677285698
802147985-2904.csv_1: True Class: low, Predicted: low, Probability: 0.9754728181522748
802147985-2904.csv_2: True Class: high, Predicted: high, Probability: 0.6221227857045238
802447804-2905.csv_1: True Class: high, Predicted: high, Probability: 0.6337274510679656
802447804-2905.csv_2: True Class: low, Predicted: low, Probability: 0.9716617312491723
802747993-2906.csv_1: True Class: low, Predicted: low, Probability: 0.9963990430268684
80290194-2907.csv_1: True Class: low, Predicted: low, Probability: 0.996392207035624
803048128-2908.csv_1: True Class: low, Predicted: low, Probability: 0.9963973352399418
803348230-2909.csv_1: True Class: low, Predicted: low, Probability: 0.9963855792491604
803648119-2910.csv_1: True Class: low, Predicted: low, Probability: 0.8185908921871747
803648119-2910.csv_2: True Class: high, Predicted: high, Probability: 0.7687863678921301
803948065-2911.csv_1: True Class: high, Predicted: high, Probability: 0.7958218238762156
